Tortoise Snooze,HD,Sarah & Duck_20141014_1714.ts
Fast Slow Bungalow,HD,Sarah & Duck_20141021_1713.ts
Bags of Bags,HD,Sarah & Duck_20141028_1713.ts
Ribbon Fall,HD,Sarah & Duck_20141104_1712.ts
Garden Gaming,HD,Sarah & Duck_20141111_1712.ts
Origami Overload,HD,Sarah & Duck_20150127_1711.ts
Shallot Circus,HD,Sarah & Duck_20150128_1711.ts
Toy Tidy,HD,Sarah & Duck_20150129_1710.ts
Plate Escape,HD,Sarah & Duck_20150130_1710.ts
The Big Sleepover,HD,Sarah & Duck_20150203_1710.ts
Paisley Sea,HD,Sarah & Duck_20150204_1711.ts
Duck's Quack,HD,Sarah & Duck_20150205_1710.ts
Rainbow's Niece,HD,Sarah & Duck_20150206_1711.ts
Decorating Donkey,HD,Sarah & Duck_20150210_1711.ts
Duck Hotel,HD,Sarah & Duck_20150211_1710.ts
Balloon Race,SD,Sarah & Duck_balloon race_20131104_1810.ts
Bread Bike,SD,Sarah & Duck_bread bike_20131111_1811.ts
Bug's Button Bank,SD,Sarah & Duck_bug's button bank_20131112_1811.ts
Cloud Tower,SD,Sarah & Duck_cloud tower_20140813_1751.ts
Moon Paint,SD,Sarah & Duck_moon paint_20131107_1811.ts
No More Wool,SD,Sarah & Duck_no more wool_20131113_1812.ts
Octagon Club,SD,Sarah & Duck_octagon club_20131114_1811.ts
Outside Outside,SD,Sarah & Duck_outside outside_20140811_1751.ts
Plate Fog,SD,Sarah & Duck_plate fog_20131106_1811.ts
Puncture Pump,SD,Sarah & Duck_punture pump_20131105_1810.ts
Sound Jumble,SD,Sarah & Duck_sound jumble_20140814_1751.ts
The Mouse's Birthday,SD,Sarah & Duck_the mouse bday_20140815_1751.ts
The Play,SD,Sarah & Duck_the play_20131108_1810.ts
Umbrella Bubbles,SD,Sarah & Duck_umbrella bubbles_20140812_1751.ts
Rainbow Lemon,SD,Sarah & Duck_20131002_1714.ts
Sit Shop,SD,Sarah & Duck_20131003_1711.ts
Kite Flight,SD,Sarah & Duck_20131004_1710.ts
Umbrella and the Rain,SD,Sarah & Duck_20131007_1713.ts
Big Shop,SD,Sarah & Duck_20131008_1713.ts
Woollen Music,SD,Sarah & Duck_20131009_1711.ts
Doubles,SD,Sarah & Duck_20131010_1712.ts
Fairground,SD,Sarah & Duck_20131011_1712.ts
Sarah Gets a Cold,SD,Sarah & Duck_20131014_1712.ts
Outside Outside,HD,Sarah & Duck_20140909_1713.ts
1/40. Lots of Shallots,HD,Sarah & Duck_20140910_1712.ts
2/40. Sarah, Duck and the Penguins,HD,Sarah & Duck_20140911_1711.ts
3/40. Cheer Up Donkey,HD,Sarah & Duck_20140912_1711.ts
Umbrella Bubbles,HD,Sarah & Duck_20140916_1713.ts
4/40. Cake Bake,HD,Sarah & Duck_20140917_1712.ts
7/40. Scarf Lady's House,HD,Sarah & Duck_20140918_1713.ts
6/40. Robot Juice,HD,Sarah & Duck_20140919_1712.ts
Cloud Tower,HD,Sarah & Duck_20140923_1713.ts
5/40. Bouncy Ball,HD,Sarah & Duck_20140924_1713.ts
8/40. Rainbow Lemon,HD,Sarah & Duck_20140925_1712.ts
9/40. Sit Shop,HD,Sarah & Duck_20140926_1713.ts
Sound Jumble,HD,Sarah & Duck_20140930_1713.ts
10/40. Kite Flight,HD,Sarah & Duck_20141001_1713.ts
11/40. Umbrella and the Rain,HD,Sarah & Duck_20141002_1713.ts
12/40. Big Shop,HD,Sarah & Duck_20141003_1713.ts
The Mouse's Birthday,HD,Sarah & Duck_20141007_1714.ts
13/40. Woollen Music,HD,Sarah & Duck_20141008_1714.ts
14/40. Doubles,HD,Sarah & Duck_20141009_1714.ts
15/40. Fairground,HD,Sarah & Duck_20141010_1714.ts
16/40. Sarah Gets a Cold,HD,Sarah & Duck_20141015_1712.ts
17/40. Ribbon Sisters,HD,Sarah & Duck_20141016_1713.ts
18/40. Stargazing,HD,Sarah & Duck_20141017_1713.ts
19/40. Coloured Light,HD,Sarah & Duck_20141022_1712.ts
24/40. Fireworks Dance,HD,Sarah & Duck_20141023_1713.ts
21/40. Camera,HD,Sarah & Duck_20141024_1713.ts
22/40. Tapping Shoes,HD,Sarah & Duck_20141029_1713.ts
23/40. Bobsleigh,HD,Sarah & Duck_20141030_1712.ts
20/40. Strawberry Souffle,HD,Sarah & Duck_20141031_1712.ts
25/40. Fancy Park,HD,Sarah & Duck_20141105_1712.ts
26/40. Pipe Conductor,HD,Sarah & Duck_20141106_1712.ts
27/40. Slow Quest,HD,Sarah & Duck_20141107_1711.ts
28/40. World Bread Day,HD,Sarah & Duck_20141112_1712.ts
29/40. Pond Princess,HD,Sarah & Duck_20141113_1712.ts
The Mouse's Birthday,HD,Sarah & Duck_20141118_1711.ts
34/40. Moon Paint,HD,Sarah & Duck_20141119_1711.ts
32/40. Puncture Pump,HD,Sarah & Duck_20141120_1711.ts
33/40. Plate Fog,HD,Sarah & Duck_20141121_1711.ts
Tortoise Snooze,HD,Sarah & Duck_20141125_1712.ts
31/40. Balloon Race,HD,Sarah & Duck_20141126_1711.ts
3/40. Cheer Up Donkey,HD,Sarah & Duck_20141127_1713.ts
2/40. Sarah, Duck and the Penguins,HD,Sarah & Duck_20141128_1711.ts
Fast Slow Bungalow,HD,Sarah & Duck_20141202_1710.ts
37/40. Bug's Button Bank,HD,Sarah & Duck_20141203_1711.ts
38/40. No More Wool,HD,Sarah & Duck_20141204_1710.ts
39/40. Octagon Club,HD,Sarah & Duck_20141205_1710.ts
Bags of Bags,HD,Sarah & Duck_20141209_1710.ts
31/40. Balloon Race,HD,Sarah & Duck_20141210_1711.ts
23/40. Bobsleigh,HD,Sarah & Duck_20141211_1710.ts
34/40. Moon Paint,HD,Sarah & Duck_20141212_1710.ts
1/40. Lots of Shallots,HD,Sarah & Duck_20150103_1736.ts
4/40. Cake Bake,HD,Sarah & Duck_20150104_1725.ts
Ribbon Fall,HD,Sarah & Duck_20150106_1710.ts
